Fraud_Type,Transcript
Credit Card,Good day Ms Wong HSBC Credit Card Services detected suspicious activities credit card protect account please confirm card number CVV
Tax,Hello Mr Ng Inland Revenue Authority records indicate errors tax filing rectify please confirm NRIC number
Government Official,Hi m Officer Lim Ministry Manpower ve identified issue work permit application verify FIN number
Tech Support,Hello m Mr Tan Singtel Technical Team ve detected suspicious activities broadband connection provide customer ID password assistance
Banking,Hello Mrs Ong OCBC Bank noticed unusual transactions account secure funds please confirm account number PIN
Lottery,Hi Mr Wong Singapore Sweep Congratulations ve substantial prize latest draw claim winnings please provide identification bank account details
Credit Card,Good day MsWong HSBC Credit Card Services detected suspicious activities credit card protect account please confirm card number CVV
Tax,Hello Mr Ng Inland Revenue Authority records indicate errors tax filing rectify please confirm NRIC number
Government Official,Hi m Officer Lim Ministry Manpower ve identified issue work permit application verify FIN number
Tech Support,Hello m Mr Tan Singtel Technical Team ve detected suspicious activities broadband connection provide customer ID password assistance
Banking,Hello Mrs Ong OCBC Bank noticed unusual transactions account secure funds please confirm account number PIN
Lottery,Hi Mr Wong Singapore Sweep Congratulations ve substantial prize latest draw claim winnings please provide identification bank account details
Credit Card,Good day Ms Wong HSBC Credit Card Services detected suspicious activities credit card protect account please confirm card number CVV
Tax,Hello Mr Ng Inland Revenue Authority records indicate errors tax filing rectify please confirm NRIC number
Government Official,Hi m Officer Lim Ministry Manpower ve identified issue work permit application verify FIN number
Tech Support,Hello m Mr Tan Singtel Technical Team ve detected suspicious activities broadband connection provide customer ID password assistance
Banking,Hello Mrs Ong OCBC Bank noticed unusual transactions account secure funds please confirm account number PIN
Lottery,Hi Mr Wong Singapore Sweep Congratulations ve substantial prize latest draw claim winnings please provide identification bank account details
Credit Card,Good day Ms Wong HSBC Credit Card Services detected suspicious activities credit card protect account please confirm card number CVV
Tax,Hello Mr Ng Inland Revenue Authority records indicate errors tax filing rectify please confirm NRIC number
Government Official,Hi m Officer Lim Ministry Manpower ve identified issue work permit application verify FIN number
Tech Support,Hello m Mr Tan Singtel Technical Team ve detected suspicious activities broadband connection provide customer ID password assistance
Banking,Hello Mrs Ong OCBC Bank noticed unusual transactions account secure funds please confirm account number PIN
Lottery,Hi Mr Wong Singapore Sweep Congratulations ve substantial prize latest draw claim winnings please provide identification bank account details
Credit Card,Good day Ms Wong HSBC Credit Card Services detected suspicious activities credit card protect account please confirm card number CVV
Tax,Hello Mr Ng Inland Revenue Authority records indicate errors tax filing rectify please confirm NRIC number
Job Offer,Hello s Mark XYZ Company fantastic job offer first need bank account information direct deposit salary
Job Offer,Hi s Emily ABC Corporation ve selected highpaying job proceed require payment background verification provide credit card details
Job Offer,Hello s Peter ve reviewed resume think re perfect fit company proceed need pay registration fee share bank account details
Job Offer,Hi s Lisa XYZ Tech re offering workfromhome position excellent pay secure job need upfront payment training materials provide credit card information
Job Offer,Hello David re impressed qualifications want hire immediately However s administrative fee needs paid first provide bank account details
Job Offer,Hi s Sarah DEF Enterprises job opportunity requires immediate security deposit share credit card information transaction
Job Offer,Hello s John GHI Corporation Congratulations ve selected prestigious job need bank account details salary processing provide
Job Offer,Hi s Jessica JKL Solutions re offering remote job great benefits secure position need upfront payment onboarding provide credit card details
Job Offer,Hello s Michael MNO Industries ve passed rigorous selection process require fee work visa processing share bank account information
Job Offer,Hi s Alex PQR Corporation re offering highpaying job first need credit card details background check payment provide
Job Offer,Hello s Lisa XYZ Company ve reviewed application want offer job proceed require registration fee provide bank account details
Job Offer,Hi s David ABC Corporation Congratulations new job finalize process need upfront payment training materials provide credit card information
Job Offer,Hello s Emily XYZ Tech re impressed skills want hire However s small fee administrative purposes share bank account details
Job Offer,Hi s Peter DEF Enterprises re excited offer workfromhome job secure position need upfront payment equipment provide credit card details
Job Offer,Hello s Sarah GHI Corporation ve selected highpaying job need bank account information direct salary deposit provide
Job Offer,Hi s John JKL Solutions Congratulations ve chosen exclusive job offer However s administrative fee needs paid first provide bank account details
Job Offer,Hello s Jessica MNO Industries re thrilled offer position require payment work permit processing share credit card details
Job Offer,Hi s Michael PQR Corporation ve reviewed qualifications want hire immediately However s registration fee needs paid first provide bank account details
Job Offer,Hello s Alex XYZ Company re impressed skills want offer job proceed require upfront payment training materials provide credit card information
Job Offer,Hi s Lisa ABC Corporation Congratulations new job finalize process need bank account details salary processing provide
Job Offer,Hello s Mark XYZ Company fantastic job offer first need bank account information direct deposit salary
Job Offer,Hi s Emily ABC Corporation ve selected highpaying job proceed require payment background verification provide credit card details
Job Offer,Hello s Peter ve reviewed resume think re perfect fit company proceed need pay registration fee share bank account details
Job Offer,Hi s Lisa XYZ Tech re offering workfromhome position excellent pay secure job need upfront payment training materials provide credit card information
Job Offer,Hello David re impressed qualifications want hire immediately However s administrative fee needs paid first provide bank account details
Job Offer,Hi s Sarah DEF Enterprises job opportunity requires immediate security deposit share credit card information transaction
Job Offer,Hello s John GHI Corporation Congratulations ve selected prestigious job need bank account details salary processing provide
Job Offer,Hi s Jessica JKL Solutions re offering remote job great benefits secure position need upfront payment onboarding provide credit card details
Job Offer,Hello s Michael MNO Industries ve passed rigorous selection process require fee work visa processing share bank account information
Job Offer,Hi s Alex PQR Corporation re offering highpaying job first need credit card details background check payment provide
Job Offer,Hello s Lisa XYZ Company ve reviewed application want offer job proceed require registration fee provide bank account details
Job Offer,Hi s David ABC Corporation Congratulations new job finalize process need upfront payment training materials provide credit card information
Job Offer,Hello s Emily XYZ Tech re impressed skills want hire However s small fee administrative purposes share bank account details
Job Offer,Hi s Peter DEF Enterprises re excited offer workfromhome job secure position need upfront payment equipment provide credit card details
Job Offer,Hello s Sarah GHI Corporation ve selected highpaying job need bank account information direct salary deposit provide
Job Offer,Hi s John JKL Solutions Congratulations ve chosen exclusive job offer However s administrative fee needs paid first provide bank account details
Job Offer,Hello s Jessica MNO Industries re thrilled offer position require payment work permit processing share credit card details
Job Offer,Hi s Michael PQR Corporation ve reviewed qualifications want hire immediately However s registration fee needs paid first provide bank account details
Job Offer,Hello s Alex XYZ Company re impressed skills want offer job proceed require upfront payment training materials provide credit card information
Job Offer,Hi s Lisa ABC Corporation Congratulations new job finalize process need bank account details salary processing provide
Insurance Scam,Hello s Mr Lee Prudential Insurance limitedtime offer new insurance plan proceed need bank account details premium payment provide
Insurance Scam,Hi s Ms Tan AIA Singapore ve reviewed profile believe re eligible special insurance package proceed require credit card information monthly payments share us
Insurance Scam,Hello s Mr Lim Great Eastern Life re offering exclusive insurance coverage discounted rates enroll need bank account details direct debit provide
Insurance Scam,Hi s Ms Ng AXA Insurance customized insurance plan proceed require upfront payment share credit card details transaction
Insurance Scam,Hello s Mr Wong NTUC Income ve noticed gaps insurance coverage protect need bank account information immediate policy renewal provide
Insurance Scam,Hi s Ms Lim Prudential Insurance Congratulations ve selected exclusive insurance offer However s administrative fee needs paid first provide credit card details
Insurance Scam,Hello s Mr Tan AIA Singapore re thrilled offer new insurance plan proceed require payment policy processing share bank account details
Insurance Scam,Hi s Ms Ng Great Eastern Life ve reviewed profile think re eligible premium insurance package proceed need credit card details monthly premium payments provide
Insurance Scam,Hello s Mr Lee AXA Insurance re offering limitedtime insurance plan great benefits secure require upfront payment provide bank account details
Insurance Scam,Hi s Ms Tan NTUC Income Congratulations ve selected special insurance package However s registration fee needs paid first provide credit card information
Insurance Scam,Hello s Mr Lim Prudential Insurance exclusive insurance offer proceed need bank account information premium payment provide
Insurance Scam,Hi s Ms Ng AIA Singapore ve reviewed profile believe qualify premium insurance plan proceed require credit card details monthly payments share
Insurance Scam,Hello s Mr Tan Great Eastern Life re offering special insurance coverage discounted rates enroll need bank account details direct debit provide
Insurance Scam,Hi s Ms Lim AXA Insurance ve noticed gaps insurance coverage protect need credit card information immediate policy renewal provide
Insurance Scam,Hello s Mr Wong NTUC Income Congratulations ve selected exclusive insurance offer However s administrative fee needs paid first provide bank account details
Insurance Scam,Hi s Ms Lee Prudential Insurance re thrilled offer new insurance plan proceed require payment policy processing share credit card details
Insurance Scam,Hello s Mr Tan AIA Singapore ve reviewed profile think re eligible premium insurance package proceed need bank account details premium payment provide
Insurance Scam,Hi s Ms Ng Great Eastern Life re offering limitedtime insurance plan great benefits secure require upfront payment provide credit card information
Insurance Scam,Hello s Mr Lim AXA Insurance exclusive insurance offer proceed need bank account information premium payment provide
Insurance Scam,Hi s Ms Tan NTUC Income Congratulations ve selected special insurance package However s registration fee needs paid first provide credit card details
Insurance Scam,Hello s Mr Lee Prudential Insurance fantastic insurance plan first need bank account details premium payment provide
Insurance Scam,Hi s Ms Tan AIA Singapore ve reviewed profile believe qualify premium insurance plan proceed require credit card details monthly payments share
Insurance Scam,Hello s Mr Lim Great Eastern Life re offering special insurance coverage discounted rates enroll need bank account details direct debit provide
Insurance Scam,Hi s Ms Ng AXA Insurance ve noticed gaps insurance coverage protect need credit card information immediate policy renewal provide
Insurance Scam,Hello s Mr Tan NTUC Income Congratulations ve selected exclusive insurance offer However s administrative fee needs paid first provide bank account details
Insurance Scam,Hi s Ms Lee Prudential Insurance re thrilled offer new insurance plan proceed require payment policy processing share credit card details
Insurance Scam,Hello s Mr Wong AIA Singapore ve reviewed profile think re eligible premium insurance package proceed need bank account details premium payment provide
Insurance Scam,Hi s Ms Lim Great Eastern Life re offering limitedtime insurance plan great benefits secure require upfront payment provide credit card information
Insurance Scam,Hello s Mr Tan AXA Insurance exclusive insurance offer proceed need bank account information premium payment provide
Insurance Scam,Hi s Ms Ng NTUC Income Congratulations ve selected special insurance package However s registration fee needs paid first provide credit card details
Insurance Scam,Hello s Mr Lee Prudential Insurance fantastic insurance plan first need bank account details premium payment provide
Insurance Scam,Hi s Ms Tan AIA Singapore ve reviewed profile believe qualify premium insurance plan proceed require credit card details formonthly payments share
Insurance Scam,Hello s Mr Lim Great Eastern Life re offering special insurance coverage discounted rates enroll need bank account details direct debit provide
Insurance Scam,Hi s Ms Ng AXA Insurance ve noticed gaps insurance coverage protect need credit card information immediate policy renewal provide
Insurance Scam,Hello s Mr Tan NTUC Income Congratulations ve selected exclusive insurance offer However s administrative fee needs paid first provide bank account details
Insurance Scam,Hi s Ms Lee Prudential Insurance re thrilled offer new insurance plan proceed require payment policy processing share credit card details
Insurance Scam,Hello s Mr Wong AIA Singapore ve reviewed profile think re eligible premium insurance package proceed need bank account details premium payment provide
Insurance Scam,Hi s Ms Lim Great Eastern Life re offering limitedtime insurance plan great benefits secure require upfront payment provide credit card information
Insurance Scam,Hello s Mr Tan AXA Insurance exclusive insurance offer proceed need bank account information premium payment provide
Insurance Scam,Hi s Ms Ng NTUC Income Congratulations ve selected special insurance package However s registration fee needs paid first provide credit card details
Insurance Scam,Hello s Mr Lee Prudential Insurance fantastic insurance plan first need bank account details premium payment provide
Insurance Scam,Hi s Ms Tan AIA Singapore ve reviewed profile believe qualify premium insurance plan proceed require credit card details monthly payments share
Insurance Scam,Hello s Mr Lim Great Eastern Life re offering special insurance coverage discounted rates enroll need bank account details direct debit provide
Insurance Scam,Hi s Ms Ng AXA Insurance ve noticed gaps insurance coverage protect need credit card information immediate policy renewal provide
Insurance Scam,Hello s Mr Tan NTUC Income Congratulations ve selected exclusive insurance offer However s administrative fee needs paid first provide bank account details
Insurance Scam,Hi s Ms Lee Prudential Insurance re thrilled offer new insurance plan proceed require payment policy processing share credit card details
Insurance Scam,Hello s Mr Wong AIA Singapore ve reviewed profile think re eligible premium insurance package proceed need bank account details premium payment provide
Insurance Scam,Hi s Ms Lim Great Eastern Life re offering limitedtime insurance plan great benefits secure require upfront payment provide credit card information
Insurance Scam,Hello s Mr Tan AXA Insurance exclusive insurance offer proceed need bank account information premium payment provide
Insurance Scam,Hi s Ms Ng NTUC Income Congratulations ve selected special insurance package However s registration fee needs paid first provide credit card details
Insurance Scam,Hello s Mr Lee Prudential Insurance fantastic insurance plan first need bank account details premium payment provide
Insurance Scam,Hi s Ms Tan AIA Singapore ve reviewed profile believe qualify premium insurance plan proceed require credit card details monthly payments share
Insurance Scam,Hello s Mr Lim Great Eastern Life re offering special insurance coverage discounted rates enroll need bank account details direct debit provide
Insurance Scam,Hi s Ms Ng AXA Insurance ve noticed gaps insurance coverage protect need credit card information immediate policy renewal provide
Insurance Scam,Hello s Mr Tan NTUC Income Congratulations ve selected exclusive insurance offer However s administrative fee needs paid first provide bank account details
Insurance Scam,Hi s Ms Lee Prudential Insurance re thrilled offer new insurance plan proceed require payment policy processing share credit card details
Insurance Scam,Hello s Mr Wong AIA Singapore ve reviewed profile think re eligible premium insurance package proceed need bank account details premium payment provide
Insurance Scam,Hi s Ms Lim Great Eastern Life re offering limitedtime insurance plan great benefits secure require upfront payment provide credit card information
Insurance Scam,Hello s Mr Tan AXA Insurance exclusive insurance offer proceed need bank account information premium payment provide
Insurance Scam,Hi s Ms Ng NTUC Income Congratulations ve selected special insurance package However s registration fee needs paid first provide credit card details
Insurance Scam,Hello s Mr Lee Prudential Insurance fantastic insurance plan first need bank account details premium payment provide
Insurance Scam,Hi s Ms Tan AIA Singapore ve reviewed profile believe qualify premium insurance plan proceed require credit card details monthly payments share
Insurance Scam,Hello s Mr Lim Great Eastern Life re offering special insurance coverage discounted rates enroll need bank account details direct debit provide
Insurance Scam,Hi s Ms Ng AXA Insurance ve noticed gaps insurance coverage protect need credit card information immediate policy renewal provide
Fraud_Type,Transcript
Charity Scam,Hello s Mark XYZ Charity re running fundraising campaign underprivileged children contribute need credit card details onetime donation provide
Charity Scam,Hi s Emily ABC Foundation re collecting donations support cancer research make contribution require bank account information direct transfer share us
Charity Scam,Hello s Peter re organizing charity event homeless shelters participate need upfront payment registration fee provide credit card details transaction
Charity Scam,Hi s Lisa XYZ Charity re grateful support process donation need bank account details direct debit provide
Charity Scam,Hello David ABC Foundation re raising funds provide clean water remote communities contribute require credit card information onetime donation share
Charity Scam,Hi s Sarah DEF Charity urgent campaign help disaster victims make donation need bank account details direct transfer provide
Charity Scam,Hello s John GHI Foundation re organizing charity walk support animal shelters participate need registration fee provide credit card details payment
Charity Scam,Hi s Jessica JKL Charity re committed empowering youth education support cause require bank account information direct debit share
Charity Scam,Hello s Michael MNO Foundation re collecting donations community center contribute need credit card details onetime payment provide
Charity Scam,Hi s Alex PQR Charity re hosting charity gala fund medical research attend need upfront payment registration fee provide credit card details
Charity Scam,Hello s Lisa XYZ Charity re running fundraising campaign underprivileged children contribute need credit card details onetime donation provide
Charity Scam,Hi s Emily ABC Foundation re collecting donations support cancer research make contribution require bank account information direct transfer share us
Charity Scam,Hello s Peter re organizing charity event homeless shelters participate need upfront payment registration fee provide credit card details transaction
Charity Scam,Hi s Lisa XYZ Charity re grateful support process donation need bank account details direct debit provide
Charity Scam,Hello David ABC Foundation re raising funds provide clean water remote communities contribute require credit card information onetime donation share
Charity Scam,Hi s Sarah DEF Charity urgent campaign help disaster victims make donation need bank account details direct transfer provide
Charity Scam,Hello s John GHI Foundation re organizing charity walk support animal shelters participate need registration fee provide credit card details payment
Charity Scam,Hi s Jessica JKL Charity re committed empowering youth education support cause require bank account information direct debit share
Charity Scam,Hello s Michael MNO Foundation re collecting donations community center contribute need credit card details onetime payment provide
Charity Scam,Hi s Alex PQR Charity re hosting charity gala fund medical research attend need upfront payment registration fee provide credit card details
Charity Scam,Hello s Mark XYZ Charity re running fundraising campaign underprivileged children contribute need credit card details onetime donation provide
Charity Scam,Hi s Emily ABC Foundation re collecting donations support cancer research make contribution require bank account information direct transfer share us
Charity Scam,Hello s Peter re organizing charity event homeless shelters participate need upfront payment registration fee provide credit card details transaction
Charity Scam,Hi s Lisa XYZ Charity re grateful support process donation need bank account details direct debit provide
Charity Scam,Hello David ABC Foundation re raising funds provide clean water remote communities contribute require credit card information onetime donation share
Charity Scam,Hi s Sarah DEF Charity urgent campaign help disaster victims make donation need bank account details direct transfer provide
Charity Scam,Hello s John GHI Foundation re organizing charity walk support animal shelters participate need registration fee provide credit card details payment
Charity Scam,Hi s Jessica JKL Charity re committed empowering youth education support cause require bank account information direct debit share
Charity Scam,Hello s Michael MNO Foundation re collecting donations community center contribute need credit card details onetime payment provide
Charity Scam,Hi s Alex PQR Charity re hosting charity gala fund medical research attend need upfront payment registration fee provide credit carddetails
Charity Scam,Hello s Mark XYZ Charity re running fundraising campaign underprivileged children contribute need credit card details onetime donation provide
Charity Scam,Hi s Emily ABC Foundation re collecting donations support cancer research make contribution require bank account information direct transfer share us
Charity Scam,Hello s Peter re organizing charity event homeless shelters participate need upfront payment registration fee provide credit card details transaction
Charity Scam,Hi s Lisa XYZ Charity re grateful support process donation need bank account details direct debit provide
Charity Scam,Hello David ABC Foundation re raising funds provide clean water remote communities contribute require credit card information onetime donation share
Charity Scam,Hi s Sarah DEF Charity urgent campaign help disaster victims make donation need bank account details direct transfer provide
Charity Scam,Hello s John GHI Foundation re organizing charity walk support animal shelters participate need registration fee provide credit card details payment
Charity Scam,Hi s Jessica JKL Charity re committed empowering youth education support cause require bank account information direct debit share
Charity Scam,Hello s Michael MNO Foundation re collecting donations community center contribute need credit card details onetime payment provide
Charity Scam,Hi s Alex PQR Charity re hosting charity gala fund medical research attend need upfront payment registration fee provide credit card details
